#table2
#column1;column2;column3;column4
#string;int;date;string
Mario Leverone;10;01-01-2013;11:00
02;19;01-01-2013;11:00
Güstav asdffdssa;18;01-01-2013;11:00
04;17;01-01-2013;11:00
César Campos;16;01-01-2013;11:00
06;15;01-01-2013;11:00
07;14;01-01-2013;11:00
08;13;01-01-2013;11:00
09;12;01-01-2013;11:00
Diego Arturo Guillermo Alejandro Rivera Villagra;11;01-01-2013;11:00
11;10;01-01-2013;11:00
Juanito Peña ;09;01-01-2013;11:00
13;08;01-01-2013;11:00
14;07;01-01-2013;11:00
Juanito O'higgins;06;01-01-2013;11:00
16;05;01-01-2013;11:00
17;04;01-01-2013;11:00
18;03;01-01-2013;11:00
19;02;01-01-2013;11:00
20;01;01-01-2013;11:00
